# skyline_nav stream: PRIOR e n theta se sn sth | ODO dist heading | FIX k e n cee cen cnn bias_meas | TRUTH k e n
PRIOR,-5000.0,-2200.0,0.17453292519943298,50.0,50.0,0.05235987755982989
ODO,923.5381549696044,1.4172047711421336
TRUTH,1,-4113.673022289013,-2043.7166400997626
ODO,934.0713522348225,1.419913751548594
TRUTH,2,-3227.3460445780256,-1887.4332801995251
ODO,936.3026083100953,1.4129370457380226
FIX,3,-2341.751923683854,-1730.9908754975168,88.56469141012289,10.014368961556954,75.29171334089732,0.026179938779914945
TRUTH,3,-2341.0190668670384,-1731.1499202992877
ODO,921.2359181641671,1.4236083436661553
TRUTH,4,-1454.6920891560512,-1574.8665603990503
ODO,928.7108838849231,1.4191207831872301
TRUTH,5,-568.365111445064,-1418.5832004988129
ODO,926.3930080902505,1.420879547022278
FIX,6,317.5354799524627,-1264.634294338767,70.10195372066812,11.242524454906562,84.71375200553513,0.026179938779914945
TRUTH,6,317.96186626592316,-1262.2998405985754
ODO,927.4240415391793,1.4236668670913666
TRUTH,7,1204.2888439769104,-1106.016480698338
ODO,910.9796746563533,1.4177819550292672
TRUTH,8,2090.6158216878976,-949.7331207981006
ODO,921.993606716292,1.4184687973498094
FIX,9,2974.633597063538,-794.0658732459179,63.99999999999999,0.0,63.99999999999999,0.026179938779914945
TRUTH,9,2976.9427993988847,-793.4497608978631
ODO,922.1723401023196,1.4176730401153466
TRUTH,10,3863.269777109872,-637.1664009976257
ODO,932.4804511662785,1.4147215800562851
TRUTH,11,4749.596754820859,-480.88304109738834
ODO,933.8262071257187,1.4285632084155697
FIX,12,5632.460294856689,-320.8230076774678,64.00000000000001,0.0,64.00000000000001,0.026179938779914945
TRUTH,12,5635.923732531846,-324.59968119715097
ODO,933.7468547801046,1.942112236833728
TRUTH,13,6481.647091239164,-632.4178101902528
ODO,926.9013361787686,1.9452330488451208
TRUTH,14,7327.370449946482,-940.2359391833546
ODO,934.1763935529456,1.948375914699391
FIX,15,8179.696654664534,-1247.7819819439324,123.79283548419451,-16.331596098789426,133.57772663948117,0.026179938779914945
TRUTH,15,8173.0938086538,-1248.0540681764564
ODO,943.4292112989872,1.949899716483046
TRUTH,16,9018.817167361118,-1555.8721971695581
ODO,929.9241154285625,1.9509418320987881
TRUTH,17,9864.540526068435,-1863.6903261626599
ODO,920.7104535264372,1.946791975835417
FIX,18,10717.124038269943,-2178.760683112179,183.56776740521337,3.3246409916348654,198.8698025782136,0.026179938779914945
TRUTH,18,10710.263884775752,-2171.5084551557616
ODO,918.6804604317615,1.9374644251078599
TRUTH,19,11555.987243483069,-2479.3265841488633
ODO,929.8367725474311,1.9491713353078242
TRUTH,20,12401.710602190386,-2787.144713141965
ODO,940.9665559913651,1.9417721790331037
FIX,21,13251.97863626239,-3088.6516204253153,219.2294767763182,21.445320486889926,226.43319630261044,0.026179938779914945
TRUTH,21,13247.433960897702,-3094.9628421350667
ODO,937.1443091258459,1.9515584712384166
TRUTH,22,14093.15731960502,-3402.7809711281684
ODO,930.9498915188798,1.9432613773019412
TRUTH,23,14938.880678312336,-3710.59910012127
ODO,930.7156943782138,1.948575607161858
FIX,24,15782.146075209761,-4019.661760574057,245.2641043188869,8.135502215293506,177.04348712493135,0.026179938779914945
TRUTH,24,15784.604037019653,-4018.417229114372
